ID,classify,LAT,LON,ALT
51053 ,Forest,48.05,86.4,532.6
51059 ,Forest,47.433,85.867,984.1
51060 ,Forest,47.7,86.867,473.9
51068 ,Forest,47.117,87.467,500.9
51076 ,Forest,47.733,88.083,735.3
51087 ,Forest,46.983,89.517,807.5
51133 ,Forest,46.733,83,534.9
51156 ,Forest,46.783,85.717,1291.6
51186 ,Forest,46.667,90.383,1218.2
51232 ,Forest,45.183,82.567,336.1
51238 ,Forest,44.9,82.067,531.9
51241 ,Forest,45.933,83.6,1077.8
51243 ,Forest,45.617,84.85,449.5
51288 ,Forest,45.367,90.533,1653.7
51330 ,Forest,44.967,81.017,1357.8
51334 ,Forest,44.6,82.9,318.6
51346 ,Grassland,44.433,84.667,478.7
51356 ,Grassland,44.317,86.05,442.9
51358 ,Grassland,44.283,85.817,468.5
51365 ,Grassland,44.2,87.533,440.5
51367 ,Grassland,44.133,86.817,522.1
51379 ,Grassland,44.017,89.567,793.5
51431 ,Grassland,43.95,81.333,662.5
51433 ,Grassland,43.8,82.517,1105.3
51437 ,Grassland,43.15,81.133,1851
51463 ,Grassland,43.783,87.65,935
51469 ,Grassland,43.45,87.183,1930
51470 ,Grassland,43.883,88.117,1942.5
51477 ,Grassland,43.35,88.317,1103.5
