ID,classify,LAT,LON,ALT
56548 ,Grassland,27.167,99.283,2326.1
56543 ,Grassland,27.833,99.7,3276.7
56533 ,Grassland,27.75,98.667,1583.3
56462 ,Grassland,29,101.5,2925
56459 ,Grassland,27.933,101.267,2426.5
56444 ,Grassland,28.483,98.917,3319
56441 ,Grassland,28.717,99.283,2422.9
56434 ,Grassland,28.65,97.467,2327.6
56374 ,Grassland,30.05,101.967,2615.7
56357 ,Grassland,29.05,100.3,3727.7
56342 ,Grassland,29.683,98.6,3870
56331 ,Grassland,29.667,97.833,3780
56317 ,Grassland,29.217,94.217,2950
56312 ,Grassland,29.667,94.333,2991.8
56307 ,Grassland,29.15,92.583,3260
56257 ,Grassland,30,100.267,3948.9
56251 ,Grassland,30.933,100.317,3000
56247 ,Grassland,30,99.1,2589.2
56228 ,Forest,30.05,96.917,3260
56227 ,Forest,29.867,95.767,2736
56223 ,Forest,30.75,95.833,3640
56202 ,Forest,30.667,93.283,4488.8
56182 ,Forest,32.65,103.567,2850.7
56178 ,Forest,31,102.35,2369.2
56173 ,Forest,32.8,102.55,3491.6
56172 ,Forest,31.9,102.233,2664.4
56171 ,Forest,32.9,101.7,3275.1
56167 ,Forest,30.983,101.117,2957.2
56152 ,Forest,32.283,100.333,3893.9
56151 ,Forest,32.933,100.75,3530
56146 ,Forest,31.617,100,3393.5
56144 ,Forest,31.8,98.583,3184
56137 ,Forest,31.15,97.167,3306
56128 ,Forest,31.217,96.6,3810
56125 ,Forest,32.2,96.483,3643.7
56116 ,Forest,31.417,95.6,3873.1
56109 ,Forest,31.483,93.783,3940
56106 ,Forest,31.883,93.783,4022.8
56080 ,Forest,35,102.9,2910
56079 ,Forest,33.583,102.967,3439.6
56074 ,Forest,34,102.083,3471.4
56067 ,Cropland,33.433,101.483,3628.5
56065 ,Cropland,34.733,101.6,3500
56046 ,Cropland,33.75,99.65,3967.5
56043 ,Cropland,34.467,100.25,3719
56038 ,Cropland,32.983,98.1,4200
56034 ,Cropland,33.8,97.133,4415.4
56033 ,Cropland,34.917,98.217,4272.3
56029 ,Cropland,33.017,97.017,3681.2
56021 ,Cropland,34.133,95.783,4175
56018 ,Cropland,32.9,95.3,4066.4
56016 ,Cropland,33.85,95.6,4179.1
56004 ,Cropland,34.217,92.433,4533.1
55773 ,Cropland,27.733,89.083,4302
55696 ,Cropland,28.417,92.467,3860
55690 ,Cropland,27.983,91.95,4280.3
55681 ,Cropland,28.967,90.4,4431.7
55680 ,Cropland,28.917,89.6,4040
55664 ,Cropland,28.633,87.083,4300
55655 ,Cropland,28.183,85.967,3810
55598 ,Cropland,29.25,91.767,3551.7
55597 ,Cropland,29.033,91.683,3741
55593 ,Cropland,29.85,91.733,3804.3
55591 ,Cropland,29.667,91.133,3648.9
55589 ,Cropland,29.3,90.983,3555.3
55585 ,Cropland,29.433,90.167,3809.4
55578 ,Cropland,29.25,88.883,3836
55572 ,Cropland,29.683,89.1,4000
55569 ,Cropland,29.083,87.6,4000
55493 ,Cropland,30.483,91.1,4200
55472 ,Cropland,30.95,88.633,4672
55437 ,Cropland,30.283,81.25,3900
55299 ,Cropland,31.483,92.067,4507
55294 ,Cropland,32.35,91.1,4800
55279 ,Cropland,31.367,90.017,4700
55248 ,Cropland,32.15,84.417,4414.9
55228 ,Cropland,32.5,80.083,4278.6
52974 ,Grassland,35.517,102.017,2491.4
52968 ,Grassland,35.033,101.467,3662.8
52957 ,Grassland,35.25,100.583,3080
52955 ,Grassland,35.583,100.75,3120
52943 ,Grassland,35.583,99.983,3323.2
52908 ,Grassland,35.217,93.083,4612.2
52868 ,Grassland,36.033,101.433,2237.1
52866 ,Grassland,36.717,101.75,2295.2
52856 ,Grassland,36.267,100.617,2835
52842 ,Grassland,36.783,99.083,3087.6
52836 ,Grassland,36.3,98.1,3189
52833 ,Grassland,36.917,98.483,2950
52825 ,Grassland,36.433,96.417,2790.4
52818 ,Grassland,36.417,94.9,2807.6
52765 ,Grassland,37.383,101.617,2850
52754 ,Grassland,37.333,100.133,3301.5
52737 ,Grassland,37.367,97.367,2981.5
52713 ,Grassland,37.85,95.367,3173.2
52707 ,Grassland,36.8,93.683,2767
52657 ,Grassland,38.183,100.25,2787.4
52645 ,Grassland,38.417,99.583,3320
52633 ,Grassland,38.8,98.417,3367
52602 ,Grassland,38.75,93.333,2770
51931 ,Grassland,36.85,81.65,1422
51886 ,Grassland,38.25,90.85,2944.8
